totalcarbs,totalprotien,totalfat,dietID,dietname,userID
92,90,73,1,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue,1
80,28,89,2,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean,2
64,17,47,3,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse,3
36,14,93,4,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis,4
2,87,17,5,nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient,5
73,79,74,6,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc,6
59,22,82,7,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet,7
58,79,40,8,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at,8
59,59,36,9,id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec,9
4,45,12,10,curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit,10
100,21,92,11,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec,11
50,75,96,12,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac,12
36,55,31,13,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum,13
1,33,6,14,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra,14
7,52,19,15,mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,15
93,72,98,16,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac,16
82,92,94,17,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,17
15,91,47,18,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque,18
64,85,2,19,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt,19
12,70,84,20,augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur,20
25,3,1,21,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,21
47,47,35,22,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl,22
85,96,22,23,neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia,23
86,90,77,24,est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac,24
31,62,64,25,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan,25
24,91,87,26,metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus,26
33,98,1,27,bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,27
48,8,11,28,ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy,28
54,75,66,29,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,29
29,89,20,30,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin,30
86,82,58,31,ipsum integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,31
18,77,13,32,in hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,32
3,80,44,33,odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,33
57,49,35,34,ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi,34
21,73,81,35,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus,35
60,53,56,36,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna,36
66,7,4,37,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales,37
43,68,88,38,vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat,38
35,2,26,39,odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit,39
58,9,64,40,elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in,40
80,59,79,41,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio in hac habitasse platea,41
91,20,18,42,dui vel nisl duis ac nibh fusce lacus purus aliquet at,42
91,21,55,43,sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo,43
87,33,76,44,consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo,44
27,75,42,45,blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus,45
43,35,100,46,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,46
73,24,24,47,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,47
5,40,88,48,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis,48
10,72,62,49,volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,49
57,71,71,50,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh,50
12,82,64,51,leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus,51
52,81,15,52,sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec,52
56,95,9,53,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet,53
6,20,54,54,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,54
4,97,14,55,convallis nunc proin at turpis a pede posuere nonummy integer non velit,55
35,88,41,56,primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus,56
84,65,27,57,curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in,57
20,13,69,58,consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc,58
36,58,88,59,consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris,59
14,13,74,60,morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus,60
100,13,62,61,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus,61
15,82,17,62,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi,62
44,11,52,63,donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi,63
12,10,48,64,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut,64
75,14,100,65,praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,65
30,89,12,66,molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac,66
54,14,97,67,duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate,67
24,58,77,68,sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium,68
54,28,43,69,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id,69
89,71,10,70,sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea dictumst,70
19,19,95,71,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat,71
77,55,47,72,rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce,72
63,98,51,73,nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi,73
84,41,22,74,at velit eu est congue elementum in hac habitasse platea dictumst,74
51,84,9,75,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus,75
1,90,61,76,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis,76
