foodID,dietID,foodName,logdate,mealNum,servings
281,1,sociis natoque penatibus,2023-04-12 23:48:45,4,20.11
292,2,risus dapibus augue vel,2022-07-10 06:44:15,3,88.09
371,3,massa,2023-04-11 22:51:11,1,23.66
479,4,duis mattis egestas metus aenean fermentum,2022-10-26 05:32:20,1,95.96
972,5,arcu,2022-10-14 00:30:15,5,38.28
537,6,in,2022-06-16 09:31:49,3,35.9
622,7,euismod,2022-07-30 09:18:43,1,54.48
119,8,felis fusce posuere,2022-07-24 15:55:48,4,18.49
367,9,quis,2022-10-30 08:14:21,4,97.96
333,10,faucibus orci luctus,2022-05-11 10:00:45,2,98.03
340,11,mi in porttitor,2023-03-08 09:47:31,2,52.64
444,12,quam a odio in hac,2022-06-29 12:01:17,5,34.79
233,13,quam,2022-11-13 05:25:44,3,49.34
654,14,morbi,2022-11-21 07:56:04,1,41.36
743,15,a odio,2022-07-30 17:10:27,3,88.56
456,16,in faucibus orci,2022-11-12 01:23:55,1,2.21
330,17,platea dictumst aliquam augue,2023-03-01 05:25:01,3,77.91
171,18,vulputate vitae,2022-04-24 12:46:04,5,27.86
812,19,placerat ante,2022-10-15 11:16:07,1,51.48
526,20,platea,2022-09-27 21:03:21,4,9.09
973,21,orci pede venenatis non sodales sed,2022-08-24 15:48:07,2,91.03
184,22,elit proin interdum mauris non,2022-11-17 02:02:01,2,15.16
894,23,ac leo pellentesque ultrices mattis odio,2022-08-30 09:17:58,2,68.91
4,24,adipiscing elit,2023-03-05 10:14:49,1,66.49
667,25,id massa id nisl venenatis,2022-07-23 20:08:14,4,91.76
51,26,erat eros viverra eget congue eget,2023-03-17 23:13:03,3,68.37
364,27,amet eleifend pede,2023-03-24 05:56:12,1,19.98
648,28,nulla quisque arcu libero rutrum,2022-05-04 14:21:49,1,14.83
27,29,sem praesent id massa id nisl,2023-01-22 23:15:59,4,5.12
744,30,sem fusce consequat nulla nisl,2022-09-09 18:29:34,5,57.53
791,31,quam nec dui luctus rutrum nulla,2023-01-15 03:32:50,1,48.74
882,32,lorem id ligula suspendisse ornare,2022-08-02 13:33:01,3,41.08
996,33,purus phasellus in felis donec semper,2022-09-30 02:38:10,1,91.07
286,34,et eros,2022-10-12 09:00:07,3,65.28
999,35,maecenas tristique est et tempus semper,2022-08-18 02:38:12,5,76.73
655,36,leo odio porttitor id consequat in,2023-03-15 10:15:10,3,90.62
922,37,et ultrices posuere cubilia,2022-11-24 21:31:59,3,98.89
590,38,quam,2022-09-21 06:19:53,2,16.84
675,39,pellentesque,2022-09-23 17:03:23,5,21.89
522,40,diam neque vestibulum,2023-03-06 10:47:16,3,51.17
26,41,justo in blandit ultrices enim,2022-07-10 06:41:16,4,94.78
567,42,neque sapien,2022-06-18 22:01:30,4,38.73
923,43,erat,2022-05-04 08:36:41,2,16.41
118,44,eleifend pede,2023-04-08 17:18:05,1,30.02
305,45,in felis donec,2023-03-01 11:42:19,1,42.65
772,46,dapibus nulla suscipit ligula in,2022-05-08 07:29:23,5,57.13
151,47,tortor id nulla ultrices,2023-02-17 22:50:42,1,78.28
427,48,pede justo lacinia eget tincidunt,2022-06-17 02:45:24,2,68.21
760,49,donec diam,2022-09-25 08:48:06,2,41.68
626,50,tellus nisi eu orci mauris lacinia,2022-08-12 08:02:32,1,14.06
819,51,lorem,2022-11-03 22:03:53,1,32.23
191,52,pulvinar lobortis est,2022-12-16 09:08:52,5,57.97
523,53,augue vel accumsan tellus,2022-10-20 11:30:32,5,77.55
667,54,id massa id nisl venenatis,2022-04-21 14:46:50,2,74.46
823,55,est,2022-07-31 12:54:37,1,92.03
811,56,quisque erat eros viverra eget,2023-04-07 08:59:33,5,48.84
754,57,elementum,2022-07-01 06:40:36,5,44.63
124,58,suspendisse potenti,2022-12-26 03:40:54,3,10.23
763,59,pede posuere nonummy,2023-02-02 02:13:52,5,69.33
836,60,lorem vitae mattis nibh ligula nec,2023-03-04 20:42:21,5,51.31
522,61,diam neque vestibulum,2022-08-01 12:08:14,4,53.32
383,62,interdum eu tincidunt in leo maecenas,2023-03-05 00:34:03,3,41.4
762,63,quam a odio in,2023-01-18 04:23:47,3,95.57
279,64,non mattis pulvinar,2022-12-19 23:08:19,4,64.22
697,65,orci luctus et,2023-04-15 04:07:22,3,34.28
788,66,vel nulla eget eros elementum pellentesque,2022-10-17 04:10:19,5,19.07
362,67,sed interdum venenatis turpis enim blandit,2023-02-14 11:34:50,1,49.0
961,68,ac lobortis vel dapibus at,2022-06-23 14:15:19,2,4.42
614,69,rhoncus dui vel sem,2022-04-30 21:03:21,3,98.1
392,70,molestie lorem quisque ut erat curabitur,2022-06-14 19:33:21,1,6.5
646,71,libero,2023-03-24 11:40:24,4,63.7
