machineID,datePurchased,machineStatus,machineName
1,2022-04-27 04:54:21,tristique tortor eu,pede malesuada in imperdiet
2,2022-10-20 11:26:11,posuere,odio
3,2022-10-23 04:45:53,nonummy,erat
4,2022-07-17 12:56:40,posuere cubilia curae,sollicitudin mi sit amet
5,2023-02-07 11:33:49,potenti nullam porttitor,pede libero quis orci
6,2022-11-07 14:07:38,duis aliquam,in faucibus orci
7,2022-11-04 16:46:50,sapien,ut nunc vestibulum
8,2022-06-15 00:21:27,molestie hendrerit at,luctus
9,2023-04-14 11:59:22,dis,sit amet sapien
10,2022-07-24 19:00:03,integer ac,urna
11,2023-03-15 20:43:15,vestibulum sit,accumsan tellus
12,2023-03-17 02:42:52,ultrices posuere cubilia,erat
13,2022-07-03 10:25:25,fusce consequat,morbi non lectus
14,2022-04-24 15:38:07,elementum eu,eget elit sodales scelerisque
15,2022-07-07 13:30:13,sagittis nam,iaculis
16,2023-01-31 06:58:30,nulla,duis bibendum felis
17,2022-09-15 09:59:33,cursus,eu mi
18,2022-11-16 06:49:12,fermentum justo,amet turpis elementum ligula
19,2022-12-29 12:04:21,ac tellus,eu tincidunt in leo
20,2022-10-13 04:54:41,lorem ipsum,posuere cubilia curae mauris
21,2022-04-17 11:36:36,consectetuer adipiscing elit,in tempus
22,2023-03-25 18:35:59,faucibus,morbi porttitor lorem id
23,2022-05-28 19:05:18,ligula,accumsan tellus
24,2022-10-28 08:52:41,felis eu sapien,non sodales sed
25,2022-05-17 11:51:15,gravida sem,eget
