exerciseID,target,instructions,type,rating,exerciseName
1,lobortis,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet,in,11,hac
2,a,suscipit nulla elit ac nulla sed vel enim sit amet nunc,ac,55,at
3,praesent,felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl,sapien,45,nulla
4,quam,mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed,in,58,iaculis
5,blandit,eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt,quam,52,fusce
6,mauris,turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum,elit,9,donec
7,donec,vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra,at,51,purus
8,praesent,proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus,pulvinar,68,eu
9,tincidunt,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet,turpis,13,nullam
10,sed,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien,pretium,28,mauris
