foodID,foodName,NumServings,unit,carbs,protien,fat
1,felis sed interdum,331.29,odio,39,32,33
2,rutrum ac lobortis vel,226.34,parturient,5,30,35
3,at lorem integer,340.18,nulla,69,78,37
4,tortor,202.46,adipiscing,21,7,6
5,hac habitasse platea dictumst etiam,207.69,duis,9,26,53
6,adipiscing lorem vitae mattis,384.73,ac,57,91,82
7,eros elementum pellentesque quisque porta,56.62,diam,45,86,100
8,accumsan odio curabitur convallis duis,330.23,nulla,14,62,31
9,purus,331.84,nullam,34,85,46
10,rutrum neque,389.91,pede,58,55,87
11,maecenas tincidunt lacus,383.01,turpis,1,68,74
12,nibh in quis justo,66.45,eget,74,95,70
13,nisl,184.81,sed,14,51,57
14,rhoncus dui vel sem sed,267.35,rutrum,21,72,24
15,maecenas tristique est,62.93,mauris,57,63,32
16,ipsum,260.68,in,19,26,57
17,volutpat erat,288.63,potenti,2,71,37
18,nisl,277.83,quam,50,84,60
19,arcu adipiscing molestie hendrerit,317.73,non,43,45,61
20,magnis dis,165.84,in,72,13,42
21,integer aliquet massa,99.61,cubilia,63,83,94
22,nec dui luctus rutrum nulla tellus,229.68,id,37,64,1
23,cubilia curae donec pharetra magna,81.07,tortor,43,13,39
24,nec nisi vulputate,395.13,nisl,30,15,100
25,luctus cum sociis natoque,264.78,elit,66,0,33
26,sed ante vivamus tortor,24.64,morbi,52,18,56
27,id justo sit amet sapien,212.12,at,38,52,11
28,lacinia erat vestibulum sed magna at,313.47,nunc,48,56,41
29,diam vitae quam suspendisse potenti,340.25,quam,54,44,40
30,at diam nam tristique tortor eu,280.42,maecenas,56,30,13
31,rutrum nulla tellus in,380.37,lobortis,10,70,90
32,id massa id nisl venenatis,234.07,pede,32,67,15
33,nulla ultrices aliquet maecenas,213.94,luctus,12,87,29
34,in,154.37,lacinia,17,29,94
35,eget,154.68,nullam,84,10,50
36,turpis sed ante vivamus tortor,331.05,lacinia,45,0,15
37,nulla sed vel enim sit amet,90.14,augue,3,19,100
38,aliquet at feugiat non,340.27,augue,99,35,21
39,nec condimentum neque sapien placerat,339.97,integer,66,91,17
40,vel lectus,297.64,nunc,54,49,91
41,nisl duis ac nibh fusce,170.95,fusce,91,73,91
42,vel nulla eget,75.34,pulvinar,70,6,80
43,tortor duis mattis egestas metus,83.61,aliquam,45,81,23
44,ultricies eu nibh,348.79,tortor,77,86,16
45,tincidunt in,307.01,in,75,10,49
46,arcu libero,226.71,curabitur,47,97,5
47,turpis,147.69,sapien,67,79,65
48,fermentum justo nec condimentum neque sapien,35.23,id,23,68,67
49,lectus aliquam sit,281.87,sapien,31,53,25
