programID,exerciseID,numDay,pattern
9,9,4,et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis
1,3,3,nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum
10,3,5,commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer
6,3,6,bibendum morbi non quam nec dui luctus rutrum nulla tellus in
10,5,5,libero ut massa volutpat convallis morbi odio odio elementum eu interdum
7,9,4,at lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent
1,6,4,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis
2,6,2,varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede
2,10,1,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum
4,4,4,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida
3,6,2,quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse
3,8,3,dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in
2,4,6,augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum praesent blandit
4,2,6,nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue
7,7,1,ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed
8,3,5,parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis
9,2,1,nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue
2,2,5,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper
10,5,2,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit
9,2,1,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna
5,3,3,nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque
2,5,6,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed
8,4,4,id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede
1,9,4,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo
10,1,1,a odio in hac habitasse platea dictumst maecenas ut massa
7,10,4,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in
6,8,1,tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus
4,7,1,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam
3,6,4,tortor risus dapibus augue vel accumsan tellus nisi eu orci mauris
2,5,3,cum sociis natoque penatibus et magnis dis parturient montes nascetur
6,3,3,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices
8,2,2,felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar
7,4,6,ut blandit non interdum in ante vestibulum ante ipsum primis in
3,8,4,tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa
4,1,3,porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus
