trainerID,userID,hours
1,1,4
2,2,1
3,3,4
4,4,2
5,5,2
6,6,4
7,7,2
8,8,2
9,9,2
10,10,3
11,11,3
12,12,2
13,13,3
14,14,4
15,15,3
16,16,4
17,17,2
18,18,4
19,19,3
20,20,1
21,21,3
22,22,4
23,23,3
24,24,1
25,25,2
26,26,1
27,27,1
28,28,3
29,29,3
30,30,2
31,31,2
32,32,4
33,33,1
34,34,3
35,35,1
36,36,2
37,37,4
38,38,1
39,39,2
40,40,4
41,41,4
42,42,3
43,43,4
44,44,4
45,45,3
46,46,3
47,47,1
48,48,4
49,49,1
50,50,4
51,51,2
52,52,2
53,53,1
54,54,4
55,55,1
56,56,1
57,57,4
58,58,1
59,59,1
60,60,4
61,61,2
62,62,2
63,63,4
64,64,2
65,65,3
66,66,4
67,67,1
68,68,1
69,69,3
70,70,3
71,71,1
72,72,1
73,73,2
74,74,4
75,75,3
76,76,2
77,77,2
78,78,3
79,79,4
80,80,3
81,81,3
82,82,4
83,83,1
84,84,4
85,85,2
86,86,2
87,87,4
88,88,3
89,89,3
90,90,2
91,91,3
92,92,2
93,93,3
94,94,3
95,95,3
96,96,1
97,97,2
98,98,3
99,99,3
100,100,4
101,101,3
102,102,2
103,103,1
104,104,4
105,105,2
106,106,3
107,107,3
108,108,4
109,109,4
110,110,2
111,111,4
112,112,3
113,113,1
114,114,1
115,115,2
116,116,4
117,117,2
118,118,3
119,119,3
120,120,3
121,121,4
122,122,1
123,123,1
124,124,2
125,125,2
126,126,4
127,127,3
128,128,4
129,129,3
130,130,4
131,131,1
132,132,4
133,133,4
134,134,4
135,135,3
136,136,4
137,137,1
138,138,3
139,139,1
140,140,4
141,141,4
142,142,3
143,143,1
144,144,3
145,145,3
146,146,2
147,147,3
148,148,1
149,149,1
150,150,1
151,151,1
152,152,3
153,153,4
154,154,3
155,155,4
156,156,3
157,157,4
158,158,2
159,159,4
160,160,3
161,161,2
162,162,2
163,163,2
164,164,3
165,165,3
166,166,4
167,167,1
168,168,2
169,169,2
170,170,4
171,171,3
172,172,2
173,173,2
174,174,1
175,175,3
176,176,3
177,177,4
178,178,2
179,179,2
180,180,1
181,181,1
182,182,4
183,183,2
184,184,1
185,185,3
186,186,3
187,187,1
188,188,4
189,189,3
