exerciseID,max,reaction,userID,ratedate
6,492,vestibulum velit,1,2022-12-14 00:34:17
9,372,habitasse platea dictumst maecenas,2,2023-01-30 16:48:04
5,355,enim,3,2022-10-12 00:07:16
2,127,sociis natoque penatibus,4,2022-07-28 00:42:13
10,401,odio,5,2022-12-01 01:33:00
3,491,luctus et,6,2023-04-06 19:07:24
8,311,aliquam convallis nunc proin at,7,2023-02-20 15:45:21
7,278,nulla integer pede,8,2022-12-02 21:08:46
4,388,gravida,9,2022-05-05 12:16:50
1,156,tincidunt ante vel,10,2022-11-01 18:00:46
8,377,laoreet ut rhoncus aliquet pulvinar,11,2022-06-07 13:09:16
6,332,id mauris vulputate elementum,12,2022-12-21 23:53:29
7,102,semper interdum,13,2022-07-04 18:11:40
9,145,sapien urna,14,2023-03-01 15:39:29
4,137,luctus,15,2023-02-15 23:21:03
10,444,orci vehicula,16,2023-03-27 01:37:35
2,70,consectetuer adipiscing elit proin,17,2022-08-18 22:44:13
1,42,tempor convallis nulla,18,2022-07-10 02:47:09
3,51,ipsum primis in,19,2022-05-23 13:22:23
5,98,curae,20,2023-01-05 19:51:50
4,387,curae,21,2022-11-11 16:02:16
1,151,vestibulum ante ipsum primis in,22,2022-06-28 12:13:40
10,292,eget tempus vel,23,2023-03-13 12:41:45
2,396,odio consequat varius integer ac,24,2022-12-29 15:33:33
8,498,vel nulla eget eros elementum,25,2023-02-11 21:41:49
9,44,volutpat eleifend donec ut dolor,26,2022-04-30 21:24:25
3,250,quisque id justo sit,27,2022-10-09 02:47:58
5,474,diam vitae quam suspendisse potenti,28,2022-10-12 02:35:52
6,408,enim blandit,29,2023-04-13 13:57:37
7,251,magna vestibulum aliquet ultrices,30,2022-10-21 12:13:19
6,387,mauris,31,2022-08-17 12:56:14
10,184,libero,32,2022-05-30 13:36:26
8,240,nisi nam ultrices,33,2022-10-13 03:45:16
2,270,quis lectus suspendisse potenti,34,2022-08-24 16:54:31
9,354,phasellus,35,2022-05-19 10:36:28
4,363,vestibulum ante,36,2022-08-02 02:24:51
1,53,ante nulla justo aliquam quis,37,2022-05-10 17:48:28
7,487,blandit lacinia erat vestibulum sed,38,2023-03-27 06:02:08
5,313,odio consequat varius integer ac,39,2023-01-22 08:38:29
3,345,praesent blandit nam nulla,40,2023-01-06 22:48:18
1,390,adipiscing elit,41,2022-09-30 15:46:42
6,490,nulla tempus,42,2023-03-07 11:04:30
5,130,dictumst maecenas ut,43,2023-02-23 22:07:34
7,261,ac,44,2022-06-26 08:59:00
8,134,accumsan tortor,45,2022-05-25 01:36:34
3,291,amet,46,2022-10-14 07:48:22
2,285,dui luctus rutrum nulla,47,2023-03-22 04:52:57
10,42,primis in faucibus orci luctus,48,2023-01-10 22:23:31
4,491,non,49,2023-01-04 11:42:07
9,485,aenean fermentum donec ut,50,2022-08-20 19:41:32
2,22,erat curabitur gravida,51,2022-08-30 20:55:37
8,435,luctus cum sociis,52,2022-12-24 23:20:38
9,497,vulputate vitae nisl aenean,53,2022-05-18 07:47:51
10,366,consequat,54,2022-05-25 21:12:00
5,178,interdum eu tincidunt in leo,55,2023-02-13 13:03:18
3,27,quam,56,2023-04-16 15:37:37
4,478,sapien placerat ante nulla,57,2022-05-25 07:41:08
1,272,adipiscing elit,58,2022-07-14 01:37:18
7,325,curabitur gravida nisi at nibh,59,2022-11-19 04:51:52
6,121,nulla,60,2022-12-01 15:57:10
4,44,lacinia erat vestibulum,61,2022-06-02 15:05:08
8,487,integer a nibh in,62,2022-12-01 23:06:45
5,338,elit sodales scelerisque,63,2022-05-11 01:39:14
2,477,interdum,64,2022-07-01 17:45:49
6,242,turpis elementum,65,2023-01-11 22:37:49
7,342,nulla nunc,66,2022-11-14 02:46:25
10,370,vel augue vestibulum,67,2023-01-31 11:28:55
1,43,id consequat in consequat ut,68,2022-10-14 15:58:38
9,395,molestie nibh,69,2023-04-07 00:40:47
3,209,cursus,70,2023-01-27 15:59:26
10,127,mi sit amet lobortis,71,2023-01-07 13:01:10
2,447,justo etiam pretium iaculis justo,72,2022-08-01 13:37:46
3,104,eget semper,73,2022-11-10 18:25:51
5,148,tincidunt eu felis fusce posuere,74,2022-08-17 09:18:33
6,69,sem mauris laoreet ut rhoncus,75,2022-12-06 23:08:57
9,418,amet,76,2023-03-15 12:19:02
1,177,nisl ut volutpat sapien arcu,77,2022-07-13 16:48:39
8,76,massa tempor convallis,78,2022-11-18 18:12:50
7,467,aliquet ultrices erat tortor sollicitudin,79,2022-09-30 09:22:24
4,387,eget congue eget,80,2023-01-15 20:29:25
9,318,primis,81,2022-12-04 16:27:11
1,291,id ligula suspendisse,82,2022-10-23 23:00:03
10,398,purus aliquet at,83,2022-11-09 11:07:14
6,289,ultrices enim lorem ipsum,84,2022-12-17 12:04:33
2,24,dapibus,85,2022-12-28 03:35:31
4,88,nam tristique,86,2023-03-06 06:45:29
8,472,ipsum,87,2022-05-23 20:26:48
5,317,id massa id,88,2022-08-22 16:34:37
7,415,ut nunc,89,2022-05-28 19:31:58
3,479,parturient montes nascetur ridiculus,90,2022-08-07 02:04:21
2,100,amet erat nulla tempus vivamus,91,2022-10-06 10:18:57
10,447,phasellus,92,2022-05-21 06:59:58
1,239,massa tempor convallis nulla neque,93,2023-03-08 03:17:33
9,351,quam pharetra magna ac,94,2022-09-03 14:15:43
3,191,nulla facilisi cras non,95,2022-09-22 16:09:18
5,361,vehicula condimentum curabitur in,96,2022-06-23 04:07:08
4,308,auctor sed,97,2022-08-27 13:13:08
7,447,tincidunt lacus at,98,2022-07-03 08:23:56
8,115,mauris laoreet,99,2023-03-01 22:20:26
6,364,at nulla,100,2022-12-23 20:06:50
8,176,proin at turpis,101,2022-09-12 21:44:04
3,313,convallis nulla neque libero convallis,102,2023-03-19 01:57:42
7,55,odio donec vitae nisi nam,103,2022-08-28 23:20:13
1,37,erat nulla,104,2023-02-18 10:52:00
5,301,elit ac nulla sed vel,105,2022-09-03 12:33:03
2,204,ridiculus mus etiam vel augue,106,2022-10-27 02:57:26
10,410,erat nulla,107,2022-05-18 06:25:51
9,228,a nibh in quis,108,2022-04-18 16:21:43
6,132,sed ante vivamus tortor,109,2022-08-30 10:02:53
4,269,sed lacus morbi,110,2022-05-27 01:21:48
