userID,weight,date
13,154,2022-06-03 22:46:10
13,124,2022-09-19 09:57:29
19,275,2022-07-03 21:28:00
2,142,2022-06-05 23:15:22
2,206,2023-02-22 11:35:00
14,218,2022-09-18 23:11:03
17,320,2022-08-08 05:29:51
8,167,2022-10-23 11:06:03
7,87,2022-12-20 10:38:55
5,254,2022-07-09 06:26:37
3,309,2022-09-01 10:31:26
9,150,2022-08-28 15:18:53
16,271,2022-06-09 01:34:51
1,285,2022-06-20 15:40:46
7,345,2022-09-04 17:35:36
2,84,2022-10-06 07:59:19
14,319,2022-10-21 09:24:37
14,326,2022-04-30 09:20:00
19,92,2022-11-24 10:05:45
20,347,2022-08-05 14:34:02
5,278,2022-07-31 01:34:34
11,107,2023-02-16 04:57:33
19,81,2022-06-25 09:35:09
15,237,2022-09-14 10:34:37
17,313,2022-11-05 13:49:16
9,131,2022-09-11 10:28:55
2,95,2022-09-09 03:51:05
11,338,2022-12-07 22:46:12
20,321,2022-07-27 18:11:16
13,85,2022-11-22 14:55:25
7,323,2023-03-04 17:38:32
16,322,2023-02-09 06:48:55
16,124,2023-02-04 02:46:11
18,129,2023-01-30 02:22:31
8,232,2022-05-16 20:55:04
2,234,2022-09-12 05:51:35
16,171,2023-04-10 05:07:57
1,266,2022-10-19 22:33:33
16,252,2022-11-09 07:30:03
20,294,2022-06-25 14:40:09
4,176,2022-12-08 02:18:24
15,202,2023-02-06 11:58:04
10,344,2023-03-21 23:08:48
6,337,2023-01-23 16:31:54
20,341,2022-12-17 07:51:25
12,322,2023-03-10 03:58:15
17,331,2023-02-02 16:48:28
18,134,2022-05-02 08:01:48
8,106,2022-06-10 00:31:12
8,255,2023-03-25 20:23:47
15,133,2023-04-18 05:32:15
2,219,2022-08-18 16:18:11
11,252,2022-12-06 22:19:45
19,291,2023-01-23 18:33:45
9,133,2023-01-15 09:42:02
11,235,2023-01-01 13:23:31
19,242,2022-08-16 12:19:36
9,165,2022-11-23 15:09:22
14,85,2022-06-28 03:35:33
10,334,2022-12-15 15:34:08
10,268,2022-12-05 13:36:49
9,174,2022-08-09 10:33:30
12,224,2022-04-20 10:23:43
7,157,2022-10-17 18:20:26
2,176,2022-12-25 08:05:44
9,346,2022-12-03 10:20:40
7,176,2023-04-02 23:54:58
12,330,2023-04-16 02:46:57
10,312,2022-05-01 17:52:54
17,208,2023-01-12 02:32:54
19,108,2022-12-12 18:52:24
5,237,2023-02-13 07:00:59
10,317,2023-03-14 20:17:06
2,146,2022-07-13 19:41:58
8,350,2022-07-04 23:51:36
5,236,2022-05-30 08:07:57
11,131,2023-03-20 21:14:44
12,99,2022-05-12 07:39:21
3,250,2022-05-06 05:29:50
9,306,2023-04-15 16:09:27
6,256,2023-04-13 15:44:10
20,335,2022-12-27 00:43:12
19,246,2022-09-24 15:02:43
15,157,2022-06-26 11:36:15
12,264,2022-10-11 04:55:26
5,208,2022-09-24 18:24:46
14,95,2023-02-22 13:29:00
9,201,2022-06-25 02:36:45
14,200,2022-10-09 05:28:32
5,312,2022-05-21 01:28:17
12,319,2022-05-28 19:09:42
3,235,2022-04-25 03:36:22
13,344,2022-11-24 00:06:06
13,100,2022-10-04 08:38:06
13,249,2022-11-23 22:58:16
6,250,2022-07-24 13:51:56
7,177,2022-11-21 22:41:41
5,237,2023-03-03 21:04:41
10,237,2022-07-31 20:17:51
9,212,2022-07-09 23:18:28
9,88,2023-03-11 17:02:59
18,126,2022-11-23 15:18:58
18,333,2023-03-12 09:08:39
9,227,2023-04-09 04:38:34
14,158,2022-07-19 03:21:41
1,110,2023-03-01 19:48:26
16,315,2022-06-23 00:59:36
2,174,2022-12-12 03:22:11
16,246,2023-02-13 06:25:15
5,227,2023-04-16 15:11:34
11,188,2022-05-24 08:16:58
12,215,2022-05-29 19:42:17
8,166,2022-12-21 05:36:30
5,334,2022-04-19 15:30:19
9,233,2023-01-03 03:58:52
19,310,2022-06-16 00:18:43
15,164,2023-02-14 18:53:10
12,270,2022-05-05 00:15:03
15,185,2023-02-24 20:07:14
6,227,2023-03-09 01:19:45
16,149,2022-10-30 17:33:56
12,199,2022-12-21 21:05:08
20,112,2023-01-22 09:23:33
4,185,2022-05-31 13:53:15
10,317,2022-11-27 09:15:07
11,267,2022-07-14 18:02:39
10,80,2022-07-21 01:54:38
13,286,2023-01-12 04:27:51
5,346,2022-11-21 21:34:50
19,285,2023-04-15 04:20:01
11,321,2022-10-11 00:16:12
20,144,2022-11-05 19:03:20
14,193,2022-08-14 12:34:25
4,175,2023-03-22 20:10:17
4,283,2023-03-15 08:31:07
17,321,2022-05-08 00:57:04
14,318,2022-11-12 12:47:27
16,178,2022-12-08 13:11:29
19,299,2022-10-19 02:12:00
19,208,2022-04-27 11:13:17
9,114,2022-12-24 05:53:36
7,261,2022-07-13 14:14:29
1,193,2022-12-18 18:39:59
5,224,2022-10-21 22:44:32
20,326,2022-10-11 11:20:11
2,300,2022-07-04 21:38:36
18,169,2023-01-03 14:09:18
7,216,2022-12-14 14:43:55
20,189,2023-01-11 06:16:52
1,148,2023-03-13 12:31:12
20,120,2023-02-07 07:14:06
19,134,2023-02-24 19:24:44
10,300,2022-07-02 20:49:18
19,325,2022-11-10 23:18:31
20,114,2023-02-07 16:31:53
17,108,2022-04-29 17:14:16
13,149,2023-03-25 07:11:20
3,108,2022-07-10 09:02:53
1,115,2023-01-02 13:26:02
15,249,2023-03-01 02:37:19
13,110,2022-11-07 23:52:43
5,200,2022-09-13 19:32:42
18,129,2022-06-08 14:56:01
11,247,2023-01-08 09:55:11
8,297,2022-09-17 05:13:42
14,86,2022-08-14 22:18:22
3,118,2023-01-22 12:51:43
14,245,2022-04-26 04:57:43
19,174,2022-12-06 00:39:08
18,147,2022-07-06 04:35:12
9,235,2022-12-27 03:22:46
18,120,2023-01-25 00:24:47
7,224,2023-04-18 14:41:55
10,159,2023-01-17 09:26:09
5,129,2023-03-26 03:21:28
1,316,2022-12-21 01:18:59
13,243,2023-04-06 04:03:31
8,120,2022-07-08 04:31:45
7,344,2022-05-11 09:36:31
16,163,2023-01-28 19:21:52
14,328,2022-08-12 13:51:32
4,100,2023-01-12 16:55:54
20,328,2022-05-04 18:54:58
9,156,2022-05-09 03:13:36
18,349,2022-10-14 11:53:35
12,302,2022-07-27 12:44:40
4,151,2022-10-23 00:18:01
2,298,2022-11-12 06:04:59
1,156,2022-05-07 23:26:57
7,318,2022-08-12 09:48:09
1,129,2022-06-29 16:41:43
17,325,2022-07-12 09:42:38
12,290,2022-10-19 01:39:01
2,87,2022-05-07 16:24:19
1,237,2022-09-03 14:34:42
20,216,2022-11-14 12:29:42
2,235,2022-09-06 16:29:48
2,103,2023-03-19 00:24:08
5,165,2022-05-29 20:04:00
19,213,2022-12-18 17:23:12
16,138,2023-04-16 06:08:15
8,129,2023-03-09 23:19:10
5,195,2022-12-15 07:34:25
17,244,2023-01-13 16:40:58
9,98,2022-12-31 13:43:01
5,290,2022-11-23 19:35:35
10,300,2022-06-02 01:30:21
16,262,2022-12-18 04:09:04
15,244,2022-08-22 03:47:37
13,142,2023-02-19 16:12:01
20,181,2022-07-31 10:34:31
19,172,2022-04-24 00:34:16
15,232,2022-12-24 03:45:11
13,161,2023-01-02 14:29:59
4,97,2022-07-18 10:31:34
18,299,2022-12-13 00:49:12
10,108,2022-08-24 16:10:34
16,300,2022-06-19 16:52:57
17,263,2022-08-23 03:18:27
11,294,2023-03-12 08:40:22
15,259,2022-12-03 04:12:44
7,142,2022-04-25 16:28:16
17,199,2023-04-01 22:19:57
3,276,2022-11-06 22:35:41
12,222,2023-02-07 11:23:22
17,324,2022-12-26 08:38:16
18,277,2022-10-18 09:12:34
19,85,2022-10-05 01:14:51
15,286,2022-07-13 07:13:48
16,214,2022-04-25 17:11:37
5,135,2022-05-31 04:56:09
6,216,2022-11-02 14:11:20
17,284,2022-05-09 03:03:08
19,277,2022-11-23 16:08:15
12,346,2022-09-22 10:39:54
7,108,2022-09-17 05:45:25
8,320,2022-10-23 00:27:49
8,277,2023-04-08 04:30:49
20,240,2022-09-05 04:17:58
9,320,2023-04-01 16:38:22
9,127,2023-02-18 08:38:18
15,156,2023-03-11 13:02:05
17,311,2023-02-26 17:46:11
20,107,2022-11-22 09:09:48
15,317,2023-01-01 00:33:17
18,96,2022-04-26 09:07:23
3,200,2022-11-16 13:56:37
11,350,2022-05-10 21:48:22
18,94,2023-04-01 11:42:44
7,262,2022-12-22 06:35:36
1,328,2023-01-02 01:28:14
9,339,2023-03-29 01:34:03
19,234,2022-04-29 04:59:17
4,290,2022-08-09 06:34:27
8,268,2022-09-06 06:37:34
12,228,2023-01-30 09:21:32
19,150,2022-10-14 23:00:25
17,99,2022-12-31 14:48:45
2,264,2022-12-19 13:29:14
1,132,2022-08-08 11:06:25
8,272,2022-11-17 18:21:55
10,310,2023-03-17 14:30:40
18,269,2022-09-27 13:57:08
18,290,2023-03-03 17:41:45
14,231,2023-01-08 22:41:19
17,130,2022-05-11 16:08:19
10,307,2022-06-11 06:45:29
6,295,2022-05-12 23:14:44
6,282,2023-02-21 15:16:45
9,214,2022-12-26 09:13:31
4,325,2022-12-12 01:50:39
15,323,2022-09-22 22:39:54
7,190,2022-09-15 04:34:23
3,168,2022-07-27 21:26:26
7,106,2022-10-24 11:18:42
17,85,2022-09-23 08:21:43
11,282,2022-04-30 20:10:00
18,324,2022-07-10 00:44:37
16,183,2023-04-05 08:34:48
11,247,2023-03-25 17:47:30
5,218,2023-01-13 14:43:18
12,263,2022-06-27 03:40:04
20,330,2022-11-09 16:58:17
8,193,2023-04-09 01:35:02
10,261,2022-10-19 03:21:09
9,133,2022-05-17 00:31:59
14,133,2023-03-24 12:04:03
10,96,2022-06-19 14:21:46
2,326,2023-02-27 04:25:19
11,205,2023-01-06 11:25:14
14,323,2022-08-13 21:53:03
7,345,2022-10-05 06:11:50
18,188,2023-01-16 04:35:18
18,228,2023-01-20 15:48:35
2,323,2022-08-18 10:48:40
1,222,2022-05-10 17:41:36
13,103,2022-07-25 01:24:25
20,90,2022-10-30 19:20:16
12,262,2022-06-25 12:28:23
2,184,2022-07-04 01:28:01
10,206,2023-01-21 18:05:02
10,96,2022-06-05 23:53:01
4,91,2023-04-18 03:39:44
18,157,2022-05-29 16:18:37
12,116,2023-04-09 14:57:14
16,334,2022-11-22 05:45:33
10,129,2022-12-26 18:49:39
1,276,2022-11-10 20:25:07
11,114,2022-09-18 21:35:56
7,299,2022-05-23 12:33:56
12,310,2022-06-08 04:12:27
7,109,2023-03-11 18:37:50
2,234,2022-10-14 00:09:44
8,296,2023-02-01 06:07:05
11,168,2022-06-11 02:11:27
13,129,2022-07-03 22:42:30
6,161,2022-10-30 20:38:59
8,207,2023-03-05 03:42:18
11,244,2022-09-02 16:29:08
5,168,2022-12-07 18:48:57
10,250,2023-01-20 20:53:47
3,170,2022-10-31 18:12:59
8,347,2022-05-13 06:12:30
11,329,2022-11-15 15:29:17
18,188,2022-07-17 23:50:02
16,189,2023-03-04 23:07:00
14,258,2023-04-16 11:44:45
13,277,2023-04-11 12:31:45
16,138,2022-12-06 07:40:00
19,253,2022-07-20 21:51:17
11,269,2022-11-03 13:54:27
18,340,2022-10-20 04:02:57
3,153,2022-08-09 02:56:19
7,313,2023-01-20 21:13:13
17,263,2023-03-08 21:54:47
15,92,2022-08-09 23:29:27
