foodID,foodName,NumServings,unit,carbs,protein,fat
1,tortor sollicitudin mi,172.08,magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac,8,35,27
2,eu,73.94,aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur,15,64,43
3,sem fusce consequat nulla,163.76,metus vitae ipsum aliquam non mauris morbi non lectus aliquam,13,11,0
4,curae nulla dapibus dolor vel est,60.01,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,80,78,33
5,ut blandit non interdum in ante,385.61,mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi,100,12,61
6,lacus at turpis,174.97,sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus,15,87,29
7,dolor morbi vel lectus,66.53,potenti in eleifend quam a odio in hac habitasse platea dictumst maecenas ut,45,13,90
8,consequat,200.11,est congue elementum in hac habitasse platea dictumst morbi vestibulum velit id,88,31,74
9,dapibus nulla suscipit ligula in,169.41,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum,30,18,66
10,aliquam,398.28,lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus,47,42,34
11,sed ante vivamus tortor,338.8,et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,92,39,2
12,elementum nullam varius nulla,221.95,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida,47,60,32
13,vestibulum ante,373.91,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare,18,86,49
14,vulputate vitae nisl aenean lectus pellentesque,293.51,in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst,100,5,46
15,phasellus,225.61,tempor convallis nulla neque libero convallis eget eleifend luctus ultricies eu nibh quisque id justo,58,66,24
16,libero nam,296.11,iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis,3,82,88
17,volutpat eleifend,210.79,sed nisl nunc rhoncus dui vel sem sed sagittis nam congue,62,1,64
18,adipiscing molestie hendrerit at,248.04,fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus ultricies,92,38,97
19,nunc,239.1,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam,43,17,19
20,vestibulum sagittis,107.88,amet consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit,63,90,53
21,vulputate elementum nullam,283.8,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida,64,71,39
22,libero rutrum,196.26,felis fusce posuere felis sed lacus morbi sem mauris laoreet,36,4,74
23,sit amet,271.3,volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus,9,73,67
24,sed lacus morbi,175.59,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,86,100,15
25,ullamcorper purus sit amet,320.85,nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat,86,73,82
26,ultricies,117.9,faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,24,20,48
27,in faucibus orci luctus et ultrices,17.73,in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse,25,84,56
28,at,112.17,erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi,63,16,67
29,eu sapien cursus vestibulum proin eu,387.4,sed vestibulum sit amet cursus id turpis integer aliquet massa,67,0,41
30,convallis,333.36,quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,72,43,9
31,praesent,156.35,tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet,95,68,10
32,faucibus orci,293.09,dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi,43,79,71
33,platea dictumst aliquam augue,263.95,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in,51,76,27
34,nunc nisl duis,287.71,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,54,54,34
