workOrderID,dateplaced,employeeID,machineID
1,2022-06-02 09:20:29,2022-08-31 01:01:24,2022-05-23 00:31:55
2,2022-12-26 18:44:31,2023-01-15 12:43:16,2022-05-31 01:49:37
3,2022-09-09 05:39:58,2022-08-04 07:27:47,2022-09-25 06:01:55
4,2022-07-31 03:19:42,2022-11-21 00:51:52,2023-01-17 20:22:20
5,2022-12-10 06:57:32,2022-12-08 22:37:51,2022-08-08 10:22:01
6,2022-08-24 10:03:49,2022-06-09 20:18:51,2022-10-08 01:00:30
7,2022-08-20 06:27:57,2022-04-23 20:49:14,2022-08-28 23:41:50
8,2022-11-01 07:10:53,2023-02-05 18:24:15,2022-09-13 16:46:34
9,2022-05-09 15:08:52,2022-06-11 00:01:30,2022-08-26 05:34:01
10,2023-03-08 01:39:25,2022-04-29 06:43:13,2022-05-18 13:07:13
11,2022-08-02 19:13:13,2022-04-26 08:33:30,2023-03-07 06:25:35
12,2022-10-26 12:54:34,2022-10-02 07:47:13,2022-11-22 14:23:14
